ID,Fecha_de_recepcion,Nombre_de_quien_atiende_el_caso,Tipo_de_poblacion,Nombre_completo,Parentesco,Edad,Nacionalidad,Sexo,Embarazo,Meses_de_embarazo,Tipo_de_necesidad,Persona_informada_sobre_posibilidades_de_integracion_e_inclusion,CURP,RFC,NSS,Afiliacion_al_IMSS,Acompanamiento_para_atencion_medica,Acompanamiento_para_acceso_a_la_vivienda,Acompanamiento_para_apertura_de_cuenta_bancaria,Menor_de_edad_acompanado_a_inscripcion_escolar,Grado_academico_inscrito,Acompanamiento_para_INEA,Nivel_de_estudios_certificado,Acompanamiento_para_la_revalidacion_de_estudios,Nivel_de_estudios_mas_alto,Hogar_informado_sobre_el_acceso_a_la_educacion,Acompanamiento_para_certificaciones_tecnicas,Habilidades_blandas,Canalizacion_a_empresa_u_organizacion_para_vinculacion_laboral,Canalizacion_a_empresa_para_insercion_laboral,Canalizacion_a_bolsa_de_empleo_para_insercion_laboral,Canalizacion_a_organizacion_para_insercion_laboral,Atencion_psicosocial_y_psicologica_por_primera_vez,Canalizacion_a_servicios_relevantes,Acompanamiento_para_SMAPS,Atencion_de_primeros_auxilios_psicologicos,Tipo_de_atencion_de_primeros_auxilios_psicologicos,Atencion_de_psicoterapia_individual_o_familiar,Tipo_de_atencion_de_psicoterapia_individual_o_familiar,Atencion_de_psicoterapia_grupal,Tipo_de_atencion_de_psicoterapia_grupal,Participacion_en_talleres_psicoeducativos,Canalizacion_a_servicios_de_psiquiatria,Canalizacion_al_ACNUR_para_apoyos_economicos_para_la_integracion_local,Canalizacion_al_ACNUR_para_la_insercion_escolar,Canalizacion_al_ACNUR_para_apoyo_por_certificacion_de_primaria_y_secundaria,Canalizacion_al_ACNUR_para_apoyo_economico_por_revalidacion_de_estudios,Comentarios_adicionales
1,2022-03-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
2,2023-04-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
3,2024-05-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
4,2024-06-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
5,2024-04-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
6,2022-05-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
7,2022-07-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
8,2022-08-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
9,2023-09-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
10,2023-10-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
11,2021-10-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
12,2021-04-07,Mariana,MPP,Pedro Sanchez,Papá,45,Colombiano,Hombre,False,0,Alimentos,1,XXXXXX,XXXXXX,XXXXXX,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,Tenía cortados,True,Abuso familiar,True,Abuso familiar,True,True,True,True,True,True,XXXXX
